cycle_1_lane	cycle_2_lane	cycle_3_lane	sequencing_imbalance
1	1	1	1.2962466188891202
1	1	2	1.1986652458440112
1	1	3	1.4575239855298878
1	1	4	1.554610455376672
1	1	5	1.322919125989931
1	1	6	1.1035521952108631
1	1	7	1.480652732514264
1	1	8	1.2474429418449744
1	1	9	1.2836122444176132
1	1	10	1.362519243162913
1	1	11	1.520449546107292
1	1	12	1.0865624848596478
1	1	13	1.5731503400732714
1	1	14	0.6930802413160979
1	1	15	1.4411442269845136
1	1	16	1.2149462543259928
1	1	17	1.479222236976414
1	1	18	1.4616137709475643
1	1	19	1.5571919969711225
1	1	20	1.3521968800547335
1	2	1	1.2878454134739552
1	2	2	1.1908964827031014
1	2	3	1.4480775127510732
1	2	4	1.5445347478794555
1	2	5	1.314345051301415
1	2	6	1.0963998767066359
1	2	7	1.4710563582031486
1	2	8	1.2393580417608232
1	2	9	1.2752929246356914
1	2	10	1.3536885130556
1	2	11	1.510595241552817
1	2	12	1.0795202796969134
1	2	13	1.5629544722782844
1	2	14	0.6885882647187134
1	2	15	1.4318039143408037
1	2	16	1.2070719710667428
1	2	17	1.4696351339618898
1	2	18	1.4521407915403834
1	2	19	1.5470995580426286
1	2	20	1.3434330510228625
1	3	1	0.8067872210065752
1	3	2	0.7460523240866214
1	3	3	0.9071666677470982
1	3	4	0.9675935356467827
1	3	5	0.8233882578521589
1	3	6	0.6868537173681424
1	3	7	0.9215620592049989
1	3	8	0.7764116872126338
1	3	9	0.7989235539231007
1	3	10	0.848035472371341
1	3	11	0.9463316980806257
1	3	12	0.6762792780598951
1	3	13	0.9791328074444369
1	3	14	0.4313749202333016
1	3	15	0.8969718640075858
1	3	16	0.7561856655333433
1	3	17	0.920671715112427
1	3	18	0.9097121606830553
1	3	19	0.9692002937578933
1	3	20	0.8416108070916691
1	4	1	1.228469704791472
1	4	2	1.1359905740527514
1	4	3	1.3813143534097434
1	4	4	1.4733244579793021
1	4	5	1.2537475851320683
1	4	6	1.0458507044241971
1	4	7	1.4032337664026528
1	4	8	1.1822178281365956
1	4	9	1.216495944512322
1	4	10	1.2912771289274392
1	4	11	1.4409497219421674
1	4	12	1.0297493359380545
1	4	13	1.4908949467645445
1	4	14	0.6568411188420769
1	4	15	1.365791044147779
1	4	16	1.151420296601002
1	4	17	1.4018780672590794
1	4	18	1.3851902960054658
1	4	19	1.4757710183746995
1	4	20	1.2814944917537177
1	5	1	1.3825354842085578
1	5	2	1.2784582902033979
1	5	3	1.5545488024547887
1	5	4	1.6580981484231923
1	5	5	1.410983533354698
1	5	6	1.1770137305066133
1	5	7	1.5792171895851521
1	5	8	1.3304830319281344
1	5	9	1.3690600615743937
1	5	10	1.4532197609156103
1	5	11	1.6216632073020176
1	5	12	1.1588930449173922
1	5	13	1.6778722007467777
1	5	14	0.7392173781286443
1	5	15	1.5370786720939815
1	5	16	1.2958230968821842
1	5	17	1.5776914684667631
1	5	18	1.5589108377190213
1	5	19	1.6608515387165819
1	5	20	1.4422102561886676
1	6	1	1.2248049262072753
1	6	2	1.1326016797956118
1	6	3	1.3771936077041917
1	6	4	1.4689292271485244
1	6	5	1.2500073974155463
1	6	6	1.0427307159955923
1	6	7	1.3990476305657848
1	6	8	1.178691028443032
1	6	9	1.2128668861254344
1	6	10	1.2874249828387738
1	6	11	1.4366510716284633
1	6	12	1.026677381213638
1	6	13	1.4864472995406208
1	6	14	0.6548816262667505
1	6	15	1.3617166076764862
1	6	16	1.147985372298079
1	6	17	1.397695975752461
1	6	18	1.3810579875634765
1	6	19	1.471368488949494
1	6	20	1.2776715292900707
1	7	1	1.1684747564662348
1	7	2	1.0805120420853553
1	7	3	1.313854909411657
1	7	4	1.4013715035205836
1	7	5	1.1925181373976146
1	7	6	0.994774345989706
1	7	7	1.3347038409391303
1	7	8	1.124481689238267
1	7	9	1.157085760407484
1	7	10	1.228214845566766
1	7	11	1.3705778570357718
1	7	12	0.9794593223084243
1	7	13	1.4180838998656067
1	7	14	0.6247628764327449
1	7	15	1.299089714194651
1	7	16	1.0951882210961916
1	7	17	1.3334143502659375
1	7	18	1.3175415620518887
1	7	19	1.4036985809007105
1	7	20	1.218909964425149
1	8	1	1.0566656250242694
1	8	2	0.9771198958112575
1	8	3	1.1881346270956357
1	8	4	1.2672769244386903
1	8	5	1.0784083404735845
1	8	6	0.899586277107302
1	8	7	1.206988563940785
1	8	8	1.0168821708914983
1	8	9	1.0463664203797345
1	8	10	1.1106892983976895
1	8	11	1.2394298635333654
1	8	12	0.885736718971032
1	8	13	1.2823901433010074
1	8	14	0.5649805027147314
1	8	15	1.1747822853815817
1	8	16	0.9903917391109389
1	8	17	1.2058224621823928
1	8	18	1.1914685109427448
1	8	19	1.2693813282015822
1	8	20	1.1022747836699447
1	9	1	1.22123654042783
1	9	2	1.1293019218982676
1	9	3	1.373181247874376
1	9	4	1.4646496018359452
1	9	5	1.2463655859517802
1	9	6	1.0396927910337197
1	9	7	1.3949716005279755
1	9	8	1.175256992365728
1	9	9	1.2093332810131392
1	9	10	1.28367415778691
1	9	11	1.4324654865248023
1	9	12	1.0236862265498945
1	9	13	1.482116636516591
1	9	14	0.6529736732267292
1	9	15	1.3577493390327242
1	9	16	1.1446407950598043
1	9	17	1.3936238836689425
1	9	18	1.3770343691259908
1	9	19	1.4670817570136994
1	9	20	1.2739491202611988
1	10	1	0.8254155759974989
1	10	2	0.7632783375546458
1	10	3	0.9281127391308797
1	10	4	0.9899348363015739
1	10	5	0.8423999233362646
1	10	6	0.7027128615648067
1	10	7	0.9428405137194606
1	10	8	0.794338684755374
1	10	9	0.8173703403688773
1	10	10	0.8676162309814235
1	10	11	0.9681820724445322
1	10	12	0.6918942631968531
1	10	13	1.0017405447082701
1	10	14	0.4413351736174115
1	10	15	0.9176825419466302
1	10	16	0.7736456533093374
1	10	17	0.9419296119812187
1	10	18	0.930717006356765
1	10	19	0.9915786937366436
1	10	20	0.8610432230626872
1	11	1	1.3524001956619385
1	11	2	1.2505915844948268
1	11	3	1.5206641193802024
1	11	4	1.6219563880762946
1	11	5	1.3802281593351204
1	11	6	1.1513582237964515
1	11	7	1.544794806775084
1	11	8	1.3014823368056598
1	11	9	1.3392184983997497
1	11	10	1.4215437588765665
1	11	11	1.586315623651781
1	11	12	1.1336325169221575
1	11	13	1.6412994230557945
1	11	14	0.7231045699996476
1	11	15	1.5035747875054981
1	11	16	1.267577888440194
1	11	17	1.5433023419793497
1	11	18	1.5249310748487699
1	11	19	1.6246497623976381
1	11	20	1.4107742296189634
1	12	1	0.6671913099355702
1	12	2	0.6169651854014341
1	12	3	0.7502024097864831
1	12	4	0.8001738026141908
1	12	5	0.6809199204426561
1	12	6	0.5680095315010351
1	12	7	0.762107010942472
1	12	8	0.642071561315002
1	12	9	0.6606882689779124
1	12	10	0.7013025032515404
1	12	11	0.7825908353979982
1	12	12	0.559264754897978
1	12	13	0.8097164697089596
1	12	14	0.3567354447492705
1	12	15	0.7417715815775098
1	12	16	0.6253451859490726
1	12	17	0.7613707203494265
1	12	18	0.7523074639099904
1	12	19	0.8015025483119275
1	12	20	0.6959894780421255
